Dist_um,Line_01,Line_02,Line_03,Line_04,Line_05,Line_06,Line_07,Line_08,Line_09,Line_10,Line_11,Line_12,Line_13,Line_14,Line_15,Line_16,Line_17,Line_18,Line_19,Line_20,Line_21,Line_22,Line_23,Line_24,Line_25,Line_26,Line_27,Line_28,Line_29,Line_30,Mean,Std
27.6,95,95,95,95,95,95,96.6551742553711,104.931037902832,103.896553039551,97.2758636474609,84.8620681762695,79.4827575683594,81.9655151367188,94.3793106079102,98.931037902832,96.8620758056641,89.4137878417969,97.6896591186523,101,100.37931060791,96.2413787841797,92.1034393310547,90.0344772338867,94.1724166870117,98.3103485107422,98.1034469604492,89.8275833129883,89,92.7241363525391,101,94.641379292806,5.80657660376481
28.2,125,108.448272705078,101,100.586212158203,96.4482727050781,97.6896514892578,101,101,101,101,101,97.4827575683594,93.3448181152344,89.2068939208984,89,93.1379318237305,101,101,98.5172424316406,95,95,92.1034393310547,90.0344772338867,94.1724166870117,98.3103485107422,101,101,101,97.2758636474609,89,98.3586199442546,6.84597819352119
28.8,95,95,92.7241363525391,89,89,91.6896514892578,95.8275909423828,99.9655227661133,91.6896514892578,85.4827575683594,93.7586212158203,98.5172424316406,97.6896514892578,89.4137878417969,85.0689697265625,85.0689697265625,89.2068939208984,93.3448257446289,97.4827575683594,100.37931060791,96.2413787841797,89.2068939208984,83,83,92.9310302734375,99.5517272949219,95.4137954711914,95,95,95,92.6551722208659,4.9804574620394
29.4,89,80.7241363525391,79.2758636474609,83,83,85.6896514892578,89.8275833129883,93.9655151367188,91.8965530395508,90.2413787841797,94.3793106079102,98.5172424316406,99.3448257446289,95.2068939208984,91.0689697265625,86.9310302734375,83.4137954711914,91.6896514892578,92.5172424316406,88.3793106079102,84.2413787841797,85.8965454101562,89,89,92.3103485107422,95,95,95,93.1379318237305,89,89.8551719665527,5.0939785800558
30,107,98.7241363525391,99.5517196655273,107.827583312988,116.103454589844,113.620697021484,106.172409057617,102.034484863281,101,102.24137878418,106.37931060791,103.482757568359,101,101,101,98.931037902832,95,95,95,95,95,95,93.9655151367188,89.8275833129883,89,89,89,92.7241363525391,93.1379318237305,89,98.724137878418,7.16133878295432
30.6,107,98.7241363525391,95,95,95,95,96.6551742553711,104.931037902832,107,104.517242431641,96.2413787841797,91.4827575683594,89,89,92.9310302734375,92.9310302734375,88.793098449707,84.6551742553711,85.4827575683594,89,89,91.8965454101562,95,95,98.3103485107422,102.448272705078,106.586204528809,103.275863647461,97.2758636474609,89,95.5379305521647,6.45327926059375
31.2,101,96.8620681762695,99.5517196655273,107.827583312988,116.103454589844,110.931037902832,100.172409057617,96.0344772338867,98.1034545898438,98.5172424316406,90.2413787841797,81.9655151367188,78.6551666259766,82.7931060791016,94.7931060791016,101,101,101,101,100.37931060791,96.2413787841797,95,93.9655151367188,89.8275833129883,89,90.4482727050781,94.5862121582031,102.448272705078,103.275863647461,95,96.9241376241048,7.99687098587653
31.8,101,101,107.827583312988,119.413795471191,123.551719665527,111.551727294922,94.1724166870117,90.0344848632812,89,87.7586212158203,83.6206893920898,86.5172424316406,90.6551666259766,94.7931060791016,98.931037902832,98.931037902832,94.793098449707,90.6551742553711,86.5172424316406,84.2413787841797,92.5172424316406,92.1034393310547,86.9310302734375,78.6551742553711,83.6206893920898,90.4482727050781,94.5862121582031,87.5517272949219,84.8620681762695,89,93.841379292806,10.4131772609104
32.4,119,106.586212158203,98.7241363525391,95.4137954711914,99.5517272949219,101,100.172409057617,96.0344772338867,95,96.2413787841797,100.37931060791,101,102.655174255371,106.793098449707,99.1379318237305,90.8620681762695,83.6206893920898,96.0344848632812,101,100.37931060791,96.2413787841797,95,93.9655151367188,89.8275833129883,92.3103485107422,96.4482727050781,100.586204528809,97.2758636474609,95,95,98.0413790384928,6.1596658707129
33,107,98.7241363525391,92.7241363525391,91.068962097168,111.75862121582,123.931037902832,129.310333251953,125.86206817627,112.586212158203,97.2758636474609,84.8620681762695,86.5172424316406,90.6551666259766,94.7931060791016,91.0689697265625,93.1379318237305,100.793106079102,96.6551666259766,90.0344848632812,83.6206893920898,87.7586212158203,97.6896514892578,105.965515136719,101.827583312988,94.3793106079102,89,89,85.2758636474609,84.8620681762695,89,97.571263885498,12.4255146482052
33.6,101,101,101,100.586212158203,96.4482727050781,100.37931060791,107,107,100.793106079102,95,95,95,96.6551666259766,100.793106079102,101,103.068969726562,106.586204528809,98.3103408813477,95,95.6206970214844,99.7586212158203,101,98.9310302734375,90.6551742553711,85.6896514892578,83,83,86.7241363525391,90.8620681762695,95,97.062068939209,6.43401019732657
34.2,95,99.1379318237305,101,101.413795471191,105.551719665527,104.310348510742,100.172409057617,96.0344772338867,95,93.7586212158203,89.6206893920898,92.5172424316406,96.6551666259766,100.793106079102,101,98.931037902832,94.793098449707,90.6551742553711,89,89,89,94.7931060791016,101,101,97.6896514892578,96.4482727050781,100.586204528809,93.5517272949219,87.1379318237305,83,95.9517237345378,5.46063082938974
